cargo,circunscripcion,departamento,partido,nombre,votos_esc,votos_pre,votos_partido_original,foto,perfil,participacion_politica,casa_politica,familia_apoyos,formula,sector,apoyo_presidencia_primera,apoyo_presidencia_segunda,observacion_adicional,asesor,corporacion,partido_corto,nombre_titulo,territorio_lectura,grupo_lista_id,votos_lista_grupo,votos_partido_visible,es_lider_lista,tipo_votacion,tiene_foto,foto_path,alerta_voto_individual,alerta_voto_partido,alerta_foto,orden_original
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PARTIDO CENTRO DEMOCRÁTICO,HILDA GUTIERREZ,40041.0,39739.0,177740.0,,"Contadora pública, esp. en Derecho Público y Admitivo y Mag. en Estudios Políticos. Una de las fundadoras de CD. Trayectoria en admón pública territorial. Su último cargo fue el de directora de Participación, Democracia y Acción Comunal del Ministerio del Interior durante la presidencia de Iván Duque.",Alcaldesa de la Mesa 1995-1997 por el PLC (no se tiene registro votos),No registra,"Exministra Nancy Patricia Gutiérrez, representante Andrés Forero, Uribe y Paloma",Paloma Valencia,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,LUZ MA,Cámara,Centro Democrático,Hilda Gutierrez,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PARTIDO CENTRO DEMOCRÁTICO,177740.0,177740.0,True,Voto individual reportado,True,assets/fotos/087_hilda_gutierrez.png,OK,OK,OK,87
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PARTIDO CONSERVADOR COLOMBIANO,JULIO ROBERTO SALAZAR PERDOMO,67281.0,66840.0,107381.0,,Ingeniero civil con especialización en Gerencia del Medio Ambiente y Recursos Naturales y Maestría en desarrollo/gerencia pública. Fue en 2005 Ing de Obras Públicas en la Alcaldía de Fusagasugá. Tmb laboró como asesor en el Instituto Departamental de Acción Comunal (Idaco).,Representante en 2022 por PC con 49.970 votos.,Casa Tamayo,"Jorge Emilio Rey y Nicolás García, Soledad Tamayo y el diputado Rafael Tamayo,",Soledad Tamayo,DERECHA,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,,LUZ MA,Cámara,Conservador,Julio Roberto Salazar Perdomo,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PARTIDO CONSERVADOR COLOMBIANO,107381.0,107381.0,True,Voto individual reportado,True,assets/fotos/088_julio_roberto_salazar_perdomo.png,OK,OK,OK,88
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PARTIDO DEMÓCRATA COLOMBIANO,DANIEL FELIPE BERNAL MONTEALEGRE,81673.0,80726.0,102830.0,,"Abogado magister en Planeación Urbana y Regional, especialista en Gobierno, Gestión Pública y Opinión Política.",Alcalde de Funza 2019 con 18704 en coalicón,N/R,Jorge Emilio Rey,N/R,DERECHA,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,,LUZ MA,Cámara,Demócrata Colombiano,Daniel Felipe Bernal Montealegre,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PARTIDO DEMÓCRATA COLOMBIANO,102830.0,102830.0,True,Voto individual reportado,True,assets/fotos/089_daniel_felipe_bernal_montealegre.png,OK,OK,OK,89
CÁMARA DE REPRESENTANTES,TERRITORIAL,CUNDINAMARCA,PARTIDO POLÍTICO MIRA,DANIA MARITZA ALVAREZ BARRERA,25552.0,25166.0,177740.0,,"Profesional en Admon de Empresas con especialización en Gerencia de Talento Humano.
Fue Secretaría de Gobierno (2004) en la Alcaldía de Silvania, Inpectora de Policia 2005, Alcaldesa Encargada (2005), Facilitadora, Red de Sanción contra el Abuso Sexual Infantil (2007–2008) Secretaría de Desarrollo Social y Comunitario (2016–2019)",Concejal del Municipio de Silvania 2023 por PU con 322 votos,No registra,Expresidente MIRA y exsenador Carlos Eduardo Guevara,Carlos Eduardo Guevara,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,LUZ MA,Cámara,MIRA,Dania Maritza Alvarez Barrera,CUNDINAMARCA,Cámara | TERRITORIAL | CUNDINAMARCA | PARTIDO POLÍTICO MIRA,177740.0,177740.0,True,Voto individual reportado,True,assets/fotos/090_dania_maritza_alvarez_barrera.png,OK,OK,OK,90
CÁMARA DE REPRESENTANTES,TERRITORIAL,GUAINIA,PARTIDO CAMBIO RADICAL,CARLOS ALBERTO CUENCA CHAUX,5560.0,5424.0,7295.0,,ADMINISTRADOR - CONGRESISTA DESDE 2008,DEPARTAMENTAL - REPRESENTANTE A LA CAMARA - 5349 - 2022,"""VARGASLLERIMO""",CAMBIO RADICAL - SECTOR DE GERMAN VARGAS LLERAS,LISTA PARTIDO CAMBIO RADICAL,INDEPENDIENTE,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,,DIEGO,Cámara,Cambio Radical,Carlos Alberto Cuenca Chaux,GUAINIA,Cámara | TERRITORIAL | GUAINIA | PARTIDO CAMBIO RADICAL,7295.0,7295.0,True,Voto individual reportado,True,assets/fotos/091_carlos_alberto_cuenca_chaux.png,OK,OK,OK,91
CÁMARA DE REPRESENTANTES,TERRITORIAL,GUAINIA,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JHONN ALEXANDER MOLINA BETANCUR,8641.0,8456.0,9709.0,,ADMINISTRADOR PUBLICO - CONCEJAL DE INIRIDA - COORDINADOR PAE GUAINIA -,NO REGISTRA,,ARNULFO RIVERA NARANJO - JUAN CARLOS IRAL GOMEZ - ALEXANDER GUARIN SILVA,LISTA PARTIDO DE LA U,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,,DIEGO,Cámara,Partido de la U,Jhonn Alexander Molina Betancur,GUAINIA,Cámara | TERRITORIAL | GUAINIA | PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,9709.0,9709.0,True,Voto individual reportado,True,assets/fotos/092_jhonn_alexander_molina_betancur.png,OK,OK,OK,92
CÁMARA DE REPRESENTANTES,TERRITORIAL,GUAVIARE,PARTIDO CONSERVADOR COLOMBIANO,JORGE ALEXANDER QUEVEDO HERRERA,9837.0,9488.0,12253.0,,"Licenciado , Laboró en la docencia durante 19 años, fue Secretario de Educación Departamental","- Diputado 2015 - electo N/A votos
- Alcaldia San Jose 2019 - no electo 8.000 votos
- Camara de Representantes 2022 - electo 8.879 votos",Palacios ex Gobernador,Palacios ex Gobernador,Marcos Daniel Pineda,DERECHA,PALOMA VALENCIA,ABELARDO DE LA ESPRIELLA,Por definir candidato,JULIAN,Cámara,Conservador,Jorge Alexander Quevedo Herrera,GUAVIARE,Cámara | TERRITORIAL | GUAVIARE | PARTIDO CONSERVADOR COLOMBIANO,12253.0,12253.0,True,Voto individual reportado,True,assets/fotos/093_jorge_alexander_quevedo_herrera.png,OK,OK,OK,93
CÁMARA DE REPRESENTANTES,TERRITORIAL,GUAVIARE,PARTIDO LIBERAL COLOMBIANO,ALEXANDER HARLEY BERMUDEZ LASSO,6737.0,6503.0,10006.0,,"Comerciante, incursionó en la política al ser elegido como el concejal más joven de San José del Guaviare. Su trayectoria política ha estado vinculada al Partido Liberal, llegando a presidir su directorio municipal en 2006.","- Camara de Representantes 2006 - no electo N/A votos
- Alcaldia San Jose 2011- no electo N/A votos
-Camara de Representantes 2022 - electo 6.597 votos",Independiente,Independiente,Jaime Duran,INDEPENDIENTE,PALOMA VALENCIA,No registra,Por definir candidato,JULIAN,Cámara,Liberal,Alexander Harley Bermudez Lasso,GUAVIARE,Cámara | TERRITORIAL | GUAVIARE | PARTIDO LIBERAL COLOMBIANO,10006.0,10006.0,True,Voto individual reportado,True,assets/fotos/094_alexander_harley_bermudez_lasso.png,OK,OK,OK,94
CÁMARA DE REPRESENTANTES,TERRITORIAL,HUILA,PACTO HISTÓRICO,LOURDES PAOLA MATEUS SERRANO,,,82645.0,,"Abogada, especialista en Derecho Laboral y Seguridad Social
Enfermera profesional",Concejal de Neiva por PH en 2019 con 1246 votos y en2023 con 1970 votos,No registra,Diana Carolina Corcho. Cepeda,N/R,IZQUIERDA,IVAN CEPEDA,IVAN CEPEDA,,LUZ MA,Cámara,PACTO HISTÓRICO,Lourdes Paola Mateus Serrano,HUILA,Cámara | TERRITORIAL | HUILA | PACTO HISTÓRICO,82645.0,82645.0,True,Lista cerrada / sin voto individual,True,assets/fotos/095_lourdes_paola_mateus_serrano.png,Sin voto individual,OK,OK,95
CÁMARA DE REPRESENTANTES,TERRITORIAL,HUILA,PARTIDO CAMBIO RADICAL,JULIO CESAR TRIANA QUINTERO,31653.0,31503.0,50984.0,,"Abogado Especialista y Mag en Derecho Admitivo. Fue Secretario de Gobierno dptal durante la gobernación de Cielo González Villa 2012-2013 y Gobernador de Huila en calidad de encargado por el entonces presidente de la República, Juan Manuel Santos","Concejal de La Plata por PLC en 1998; Diputado por PLC 2002 - 2007 
Representante CR en 2018 con 36.000 votos y en 2022 con 48.000 votos",Clan Gonzalez Villa,"Hermanos Gonzalez Villa, Vargas LLeras",Carlos Julio González Villa,DERECHA,ABELARDO DE LA ESPRIELLA,ABELARDO DE LA ESPRIELLA,Ferreo opositor del Gobierno Petro,LUZ MA,Cámara,Cambio Radical,Julio Cesar Triana Quintero,HUILA,Cámara | TERRITORIAL | HUILA | PARTIDO CAMBIO RADICAL,50984.0,50984.0,True,Voto individual reportado,True,assets/fotos/096_julio_cesar_triana_quintero.png,OK,OK,OK,96
